Lagen, NN, 
i, PP, 
världen, NN, 
är, VB, 
också, AB, 
oroliga, JJ, 
över, PP, 
kriget, NN, 
., MAD, 
Det, PN, 
kostar, VB, 
mycket, JJ, 
pengar, NN, 
att, IE, 
bygga, VB, 
bilar, NN, 
och, KN, 
att, IE, 
utveckla, VB, 
nya, JJ, 
bilar, NN, 
., MAD, 
Men, KN, 
i, PP, 
somras, NN, 
fick, VB, 
de, PN, 
ett, DT, 
tips, NN, 
om, PP, 
en, DT, 
misstänkt, PC, 
man, NN, 
., MAD, 
Annars, AB, 
förstörs, VB, 
miljön, NN, 
i, PP, 
städerna, NN, 
,, MID, 
säger, VB, 
Lars, PM, 
Alm, PM, 
på, PP, 
Håll, NN, 
Sverige, PM, 
Rent, AB, 
till, PP, 
nyhetsbyrån, NN, 
TT, PM, 
., MAD, 
Den, DT, 
första, RO, 
dagen, NN, 
spelades, VB, 
två, RG, 
matcher, NN, 
., MAD, 
Då, AB, 
hade, VB, 
Jerome, PM, 
Young, PM, 
det, DT, 
förbjudna, PC, 
dopningsmedlet, NN, 
epo, NN, 
i, PP, 
kroppen, NN, 
., MAD, 
Polisen, NN, 
har, VB, 
den, DT, 
här, AB, 
veckan, NN, 
berättat, VB, 
mer, AB, 
om, PP, 
mordet, NN, 
på, PP, 
de, DT, 
två, RG, 
flickorna, NN, 
i, PP, 
Halland, PM, 
., MAD, 
Om, SN, 
den, PN, 
sprids, VB, 
över, PP, 
världen, NN, 
kan, VB, 
många, PN, 
bli, VB, 
sjuka, JJ, 
och, KN, 
dö, VB, 
., MAD, 
Minst, AB, 
22, RG, 
personer, NN, 
dog, VB, 
och, KN, 
fler, JJ, 
än, KN, 
två, RG, 
hundra, RG, 
skadades, VB, 
., MAD, 
Bandy-VM, NN, 
spelas, VB, 
i, PP, 
Kazan, PM, 
i, PP, 
Ryssland, PM, 
., MAD, 
Men, KN, 
nu, AB, 
har, VB, 
det, PN, 
gått, VB, 
snabbare, AB, 
., MAD, 
Många, PN, 
tror, VB, 
att, SN, 
gruppen, NN, 
som, HP, 
mördade, VB, 
honom, PN, 
har, VB, 
nära, JJ, 
kontakter, NN, 
med, PP, 
terroristgruppen, NN, 
al-Qaida, PM, 
., MAD, 
Fortfarande, AB, 
kämpar, VB, 
många, JJ, 
släktingar, NN, 
för, PP, 
att, SN, 
militärerna, NN, 
ska, VB, 
dömas, VB, 
för, PP, 
sina, PS, 
brott, NN, 
., MAD, 
Israels, PM, 
militärer, NN, 
får, VB, 
inte, AB, 
spärra, VB, 
av, PP, 
palestinska, JJ, 
områden, NN, 
., MAD, 
Men, KN, 
Grekland, PM, 
har, VB, 
spelat, VB, 
smart, AB, 
och, KN, 
tagit, VB, 
vara, VB, 
på, PP, 
sina, PS, 
målchanser, NN, 
., MAD, 
Att, SN, 
det, PN, 
går, VB, 
sakta, AB, 
beror, VB, 
på, PP, 
att, SN, 
USA, PM, 
försöker, VB, 
undvika, VB, 
att, IE, 
döda, VB, 
oskyldiga, JJ, 
människor, NN, 
och, KN, 
förstöra, VB, 
för, AB, 
mycket, AB, 
i, PP, 
landet, NN, 
., MAD, 
Många, JJ, 
vägar, NN, 
i, PP, 
norra, JJ, 
Sverige, PM, 
är, VB, 
farliga, JJ, 
att, IE, 
åka, VB, 
på, PP, 
., MAD, 
De, PN, 
blev, VB, 
anfallna, PC, 
när, HA, 
de, PN, 
åkte, VB, 
i, PP, 
en, DT, 
buss, NN, 
., MAD, 
Det, DT, 
enda, JJ, 
som, HP, 
är, VB, 
tråkigt, JJ, 
är, VB, 
att, SN, 
Mathias, PM, 
Fredriksson, PM, 
fick, VB, 
åka, VB, 
hem, PL, 
utan, PP, 
någon, DT, 
egen, JJ, 
medalj, NN, 
., MAD, 
Polisen, NN, 
i, PP, 
Göteborg, PM, 
fortsätter, VB, 
att, IE, 
leta, VB, 
efter, PP, 
den, DT, 
försvunne, JJ, 
affärsmannen, NN, 
Fabian, PM, 
Bengtsson, PM, 
., MAD, 
Amerikanerna, NN, 
hade, VB, 
räknat, VB, 
med, PP, 
att, SN, 
kriget, NN, 
skulle, VB, 
ta, VB, 
slut, PL, 
snabbt, AB, 
., MAD, 
Polisen, NN, 
har, VB, 
ännu, AB, 
inte, AB, 
gripit, VB, 
någon, DT, 
misstänkt, PC, 
för, PP, 
morden, NN, 
., MAD, 
Det, PN, 
skriver, VB, 
organisationen, NN, 
Amnesty, PM, 
International, PM, 
., MAD, 
I, PP, 
februari, NN, 
nästa, JJ, 
år, NN, 
är, VB, 
det, PN, 
VM, PM, 
., MAD, 
Det, PN, 
är, VB, 
långt, AB, 
kvar, AB, 
innan, SN, 
kriget, NN, 
är, VB, 
slut, JJ, 
., MAD, 
Domarna, NN, 
Högsta, JJ, 
domstolen, NN, 
sade, VB, 
att, SN, 
det, PN, 
hade, VB, 
varit, VB, 
fusk, NN, 
i, PP, 
valet, NN, 
., MAD, 
De, DT, 
femton, RG, 
länderna, NN, 
i, PP, 
säkerhetsrådet, NN, 
kom, VB, 
inte, AB, 
överens, PL, 
om, PP, 
Nordkorea, PM, 
., MAD, 
El-bolagen, NN, 
räknar, VB, 
med, PP, 
att, SN, 
det, PN, 
blir, VB, 
ett, DT, 
nytt, JJ, 
el-rekord, NN, 
under, PP, 
torsdagen, NN, 
., MAD, 
Sverige, PM, 
vann, VB, 
fyra, RG, 
guld, NN, 
i, PP, 
OS, PM, 
i, PP, 
Aten, PM, 
., MAD, 
De, PN, 
åker, VB, 
för, PP, 
att, IE, 
besöka, VB, 
staden, NN, 
Mecka, PM, 
., MAD, 
Mijailo, PM, 
Mijailovic, PM, 
var, VB, 
psykiskt, AB, 
sjuk, JJ, 
när, HA, 
han, PN, 
dödade, VB, 
utrikesminister, NN, 
Anna, PM, 
Lindh, PM, 
den, DT, 
10, RO, 
september, NN, 
förra, JJ, 
året, NN, 
., MAD, 
USA, PM, 
måste, VB, 
skicka, VB, 
olja, NN, 
till, PP, 
Nordkorea, PM, 
och, KN, 
lova, VB, 
att, IE, 
inte, AB, 
skada, VB, 
Nordkorea, PM, 
,, MID, 
sade, VB, 
ledaren, NN, 
Kim, PM, 
Jong, PM, 
Il, PM, 
., MAD, 
Den, PN, 
är, VB, 
nästa, JJ, 
vecka, NN, 
i, PP, 
Tyskland, PM, 
., MAD, 
Men, KN, 
polisen, NN, 
grep, VB, 
honom, PN, 
på, PP, 
flygplatsen, NN, 
., MAD, 
Stefan, PM, 
Holm, PM, 
fick, VB, 
en, DT, 
silvermedalj, NN, 
i, PP, 
höjdhopp, NN, 
., MAD, 
Nu, AB, 
vill, VB, 
Nynäshamns, PM, 
kommun, NN, 
ha, VB, 
hjälp, NN, 
av, PP, 
polisen, NN, 
., MAD, 
Sedan, AB, 
tog, VB, 
han, PN, 
fram, PL, 
sin, PS, 
kniv, NN, 
och, KN, 
högg, VB, 
henne, PN, 
till, PP, 
döds, NN, 
., MAD, 
Domstolen, NN, 
i, PP, 
Tyskland, PM, 
säger, VB, 
att, SN, 
han, PN, 
var, VB, 
med, PL, 
och, KN, 
dödade, VB, 
över, PP, 
3000, RG, 
människor, NN, 
., MAD, 
Förra, JJ, 
veckan, NN, 
målades, VB, 
ett, DT, 
hakkors, NN, 
på, PP, 
hans, PS, 
bostad, NN, 
., MAD, 
Det, PN, 
är, VB, 
svårt, JJ, 
att, IE, 
få, VB, 
vattnet, NN, 
rent, AB, 
igen, AB, 
., MAD, 
En, DT, 
grupp, NN, 
experter, NN, 
ska, VB, 
nu, AB, 
undersöka, VB, 
om, SN, 
Rusedski, PM, 
har, VB, 
dopat, VB, 
sig, PN, 
eller, KN, 
inte, AB, 
., MAD, 
–, MID, 
Det, PN, 
här, AB, 
är, VB, 
ett, DT, 
drömjobb, NN, 
för, PP, 
mig, PN, 
., MAD, 
Då, AB, 
hoppas, VB, 
Kajsa, PM, 
att, IE, 
vara, VB, 
tillbaka, PL, 
i, PP, 
toppen, NN, 
., MAD, 
Men, KN, 
handla, VB, 
inte, AB, 
för, AB, 
mycket, AB, 
., MAD, 
–, MID, 
Men, KN, 
det, PN, 
är, VB, 
viktigt, JJ, 
att, SN, 
vi, PN, 
vinner, VB, 
gruppen, NN, 
., MAD, 
Några, DT, 
minuter, NN, 
före, PP, 
slutsignalen, NN, 
gjorde, VB, 
Frölundas, PM, 
Jonas, PM, 
Esbjörs, PM, 
3, RG, 
–, NN, 
3, RG, 
., MAD, 
Troligen, AB, 
är, VB, 
det, PN, 
fler, JJ, 
än, KN, 
160, RG, 
tusen, RG, 
människor, NN, 
som, HP, 
har, VB, 
dött, VB, 
bara, AB, 
i, PP, 
Indonesien, PM, 
., MAD, 
En, DT, 
annan, JJ, 
av, PP, 
dem, PN, 
som, HP, 
flydde, VB, 
är, VB, 
polismördaren, NN, 
Tony, PM, 
Olsson, PM, 
., MAD, 
–, MID, 
Saddam, PM, 
Hussein, PM, 
struntar, VB, 
i, PP, 
FN, PM, 
., MAD, 
USA, PM, 
har, VB, 
fler, JJ, 
än, KN, 
hundra, RG, 
tusen, RG, 
soldater, NN, 
i, PP, 
Irak, PM, 
., MAD, 
Därför, AB, 
har, VB, 
många, PN, 
med, PP, 
låg, JJ, 
lön, NN, 
själva, JJ, 
sparat, VB, 
till, PP, 
pensionen, NN, 
., MAD, 
Storbritannien, PM, 
har, VB, 
fått, VB, 
kritik, NN, 
av, PP, 
både, KN, 
Europadomstolen, NN, 
och, KN, 
FN, PM, 
för, PP, 
att, SN, 
lagen, NN, 
inte, AB, 
skyddar, VB, 
barn, NN, 
mot, PP, 
våld, NN, 
i, PP, 
hemmet, NN, 
., MAD, 
Vi, PN, 
kommer, VB, 
inte, AB, 
att, IE, 
tillåta, VB, 
dödsstraff, NN, 
den, DT, 
här, AB, 
gången, NN, 
heller, AB, 
., MAD, 
I, PP, 
den, DT, 
andra, JJ, 
matchen, NN, 
i, PP, 
Sveriges, PM, 
grupp, NN, 
på, PP, 
onsdagen, NN, 
vann, VB, 
Ungern, PM, 
över, PP, 
Island, PM, 
., MAD, 
Fångarna, NN, 
greps, VB, 
efter, PP, 
några, DT, 
dagar, NN, 
på, PP, 
rymmen, NN, 
., MAD, 
Men, KN, 
Sveriges, PM, 
stora, JJ, 
hjälte, NN, 
i, PP, 
den, DT, 
här, AB, 
matchen, NN, 
var, VB, 
inte, AB, 
Henke, PM, 
., MAD, 
Tandläkarna, NN, 
har, VB, 
höjt, VB, 
sina, PS, 
priser, NN, 
rejält, AB, 
., MAD, 
I, PP, 
regeringen, NN, 
,, MID, 
eller, KN, 
EU-kommissionen, NN, 
,, MID, 
sitter, VB, 
en, DT, 
politiker, NN, 
från, PP, 
alla, DT, 
EU-länder, NN, 
., MAD, 
Anja, PM, 
Pärson, PM, 
körde, VB, 
snabbast, JJ, 
av, PP, 
alla, PN, 
och, KN, 
vann, VB, 
en, DT, 
ny, JJ, 
seger, NN, 
i, PP, 
världscupen, NN, 
., MAD, 
Det, PN, 
gjorde, VB, 
han, PN, 
aldrig, AB, 
., MAD, 
Sedan, PP, 
dess, AB, 
har, VB, 
det, PN, 
gått, VB, 
bättre, AB, 
., MAD, 
Politiker, NN, 
från, PP, 
många, JJ, 
länder, NN, 
kommer, VB, 
till, PP, 
Yassir, PM, 
Arafats, PM, 
begravning, NN, 
i, PP, 
dag, NN, 
,, MID, 
fredag, NN, 
., MAD, 
Det, PN, 
är, VB, 
fler, JJ, 
än, KN, 
en, DT, 
miljard, NN, 
människor, NN, 
., MAD, 
Det, PN, 
är, VB, 
för, AB, 
mycket, JJ, 
socker, NN, 
i, PP, 
barnmaten, NN, 
., MAD, 
Sverige, PM, 
spelar, VB, 
sina, PS, 
nästa, JJ, 
matcher, NN, 
mot, PP, 
Schweiz, PM, 
på, PP, 
lördag, NN, 
och, KN, 
Ryssland, PM, 
på, PP, 
söndag, NN, 
., MAD, 
Tävlingarna, NN, 
var, VB, 
i, PP, 
landet, NN, 
Malaysia, PM, 
., MAD, 
Hon, PN, 
vill, VB, 
inte, AB, 
ta, VB, 
bort, PL, 
de, DT, 
religiösa, JJ, 
lagarna, NN, 
men, KN, 
hon, PN, 
vill, VB, 
göra, VB, 
dem, PN, 
modernare, JJ, 
., MAD, 
Det, PN, 
finns, VB, 
fortfarande, AB, 
människor, NN, 
i, PP, 
Irak, PM, 
som, HP, 
vill, VB, 
förfölja, VB, 
och, KN, 
döda, JJ, 
shia-muslimer, NN, 
., MAD, 
Hammarby, PM, 
har, VB, 
för, PP, 
första, RO, 
gången, NN, 
i, PP, 
år, NN, 
förlorat, VB, 
en, DT, 
allsvensk, JJ, 
match, NN, 
i, PP, 
fotboll, NN, 
., MAD, 
I, PP, 
VM, PM, 
på, PP, 
kort, JJ, 
bana, NN, 
i, PP, 
USA, PM, 
går, VB, 
det, PN, 
bättre, AB, 
., MAD, 
Nu, AB, 
har, VB, 
det, PN, 
blivit, VB, 
problem, NN, 
med, PP, 
fredsplanen, NN, 
., MAD, 
Det, DT, 
mailet, NN, 
har, VB, 
en, DT, 
bilaga, NN, 
som, HP, 
heter, VB, 
tsunami.exe, AB, 
., MAD, 
Det, PN, 
var, VB, 
motståndare, NN, 
till, PP, 
den, DT, 
irakiska, JJ, 
regeringen, NN, 
som, HP, 
sköt, VB, 
ned, PL, 
helikoptern, NN, 
., MAD, 
Förut, AB, 
har, VB, 
det, PN, 
varit, VB, 
omöjligt, JJ, 
att, IE, 
få, VB, 
Pinochet, PM, 
till, PP, 
en, DT, 
domstol, NN, 
., MAD, 
Byggfacket, NN, 
gjorde, VB, 
det, PN, 
omöjligt, JJ, 
för, PP, 
det, DT, 
lettiska, JJ, 
företaget, NN, 
att, IE, 
fortsätta, VB, 
jobbet, NN, 
., MAD, 
På, PP, 
måndagen, NN, 
dödades, VB, 
även, AB, 
tretton, RG, 
människor, NN, 
och, KN, 
över, PP, 
hundra, RG, 
skadades, VB, 
när, HA, 
två, RG, 
bilbomber, NN, 
sprängdes, VB, 
i, PP, 
Iraks, PM, 
huvudstad, NN, 
Bagdad, PM, 
., MAD, 
När, HA, 
italienarna, NN, 
åkte, VB, 
därifrån, AB, 
med, PP, 
bil, NN, 
kom, VB, 
de, PN, 
till, PP, 
en, DT, 
vägspärr, NN, 
som, HP, 
vaktades, VB, 
av, PP, 
amerikanska, JJ, 
soldater, NN, 
., MAD, 
Hon, PN, 
är, VB, 
misstänkt, PC, 
för, PP, 
mordet, NN, 
., MAD, 
Elva, RG, 
av, PP, 
länderna, NN, 
röstade, VB, 
för, PP, 
att, SN, 
Israel, PM, 
ska, VB, 
tvingas, VB, 
ta, VB, 
bort, PL, 
sina, PS, 
soldater, NN, 
från, PP, 
Gaza, PM, 
., MAD, 
Legionella, JJ, 
smittar, VB, 
genom, PP, 
vatten, NN, 
och, KN, 
på, PP, 
hotellet, NN, 
finns, VB, 
en, DT, 
bubbel-pool, NN, 
., MAD, 
Det, PN, 
blev, VB, 
en, DT, 
riktigt, AB, 
tuff, JJ, 
match, NN, 
,, MID, 
precis, AB, 
som, HA, 
alla, PN, 
hade, VB, 
väntat, VB, 
sig, PN, 
., MAD, 
–, MID, 
Vi, PN, 
ska, VB, 
göra, VB, 
allt, PN, 
vi, PN, 
kan, VB, 
för, PP, 
att, SN, 
Irak, PM, 
ska, VB, 
vara, VB, 
ett, DT, 
bra, AB, 
demokratiskt, JJ, 
land, NN, 
., MAD, 
Röda, JJ, 
Korset, NN, 
tror, VB, 
att, SN, 
många, JJ, 
irakier, NN, 
inte, AB, 
vågar, VB, 
fly, VB, 
., MAD, 
Fler, JJ, 
barn, NN, 
blir, VB, 
överfallna, PC, 
och, KN, 
våldtagna, PC, 
i, PP, 
Sverige, PM, 
., MAD, 
Det, PN, 
kan, VB, 
betyda, VB, 
att, SN, 
Bush, PM, 
kan, VB, 
göra, VB, 
som, KN, 
i, PP, 
Irak, PM, 
och, KN, 
skicka, VB, 
soldater, NN, 
till, PP, 
länder, NN, 
som, HP, 
USA, PM, 
anser, VB, 
är, VB, 
ett, DT, 
hot, NN, 
mot, PP, 
demokratin, NN, 
., MAD, 
Åtta, RG, 
andra, JJ, 
EU-länder, NN, 
ska, VB, 
rösta, VB, 
om, PP, 
den, DT, 
nya, JJ, 
grundlagen, NN, 
., MAD, 
Finland, PM, 
har, VB, 
fått, VB, 
en, DT, 
ny, JJ, 
statsminister, NN, 
., MAD, 
Det, PN, 
är, VB, 
bara, AB, 
att, IE, 
vänta, VB, 
och, KN, 
se, VB, 
om, SN, 
experterna, NN, 
får, VB, 
rätt, NN, 
., MAD, 
De, PN, 
tog, VB, 
över, PL, 
jobbet, NN, 
efter, PP, 
Gudrun, PM, 
Schyman, PM, 
,, MID, 
som, HP, 
fick, VB, 
sluta, VB, 
för, PP, 
att, SN, 
hon, PN, 
hade, VB, 
fuskat, VB, 
med, PP, 
skatten, NN, 
., MAD, 
De, PN, 
har, VB, 
inte, AB, 
kunnat, VB, 
stoppa, VB, 
våldet, NN, 
mellan, PP, 
israeler, NN, 
och, KN, 
palestinier, NN, 
., MAD, 
På, PP, 
tisdagen, NN, 
möttes, VB, 
länderna, NN, 
i, PP, 
Nato, PM, 
igen, AB, 
., MAD, 
Många, JJ, 
afrikaner, NN, 
tycker, VB, 
att, SN, 
USA, PM, 
har, VB, 
behandlat, VB, 
Afrika, PM, 
illa, AB, 
., MAD, 
Han, PN, 
dog, VB, 
på, PP, 
sjukhuset, NN, 
., MAD, 
Många, JJ, 
familjer, NN, 
har, VB, 
blivit, VB, 
hemlösa, JJ, 
., MAD, 
Fartygen, NN, 
sitter, VB, 
fortfarande, AB, 
fast, PL, 
i, PP, 
varandra, PN, 
., MAD, 
Ishockey-spelarna, NN, 
Kristian, PM, 
Huselius, PM, 
,, MID, 
Henrik, PM, 
Tallinder, PM, 
och, KN, 
Andreas, PM, 
Lilja, PM, 
får, VB, 
inte, AB, 
vara, VB, 
med, PL, 
i, PP, 
landslaget, NN, 
nästa, JJ, 
år, NN, 
heller, AB, 
., MAD, 
För, PP, 
det, DT, 
fattiga, JJ, 
landet, NN, 
Nordkorea, PM, 
blir, VB, 
det, PN, 
svårt, JJ, 
att, IE, 
skaffa, VB, 
olja, NN, 
på, PP, 
annat, JJ, 
sätt, NN, 
., MAD, 
8SIDOR, PM, 
/, MID, 
TT, PM, 
Rånarna, NN, 
satte, VB, 
fast, PL, 
en, DT, 
bomb, NN, 
på, PP, 
ryggen, NN, 
på, PP, 
den, DT, 
anställde, PC, 
mannen, NN, 
., MAD, 
Då, AB, 
kommer, VB, 
det, PN, 
att, IE, 
hållas, VB, 
minnesstunder, NN, 
på, PP, 
många, JJ, 
platser, NN, 
i, PP, 
Sverige, PM, 
och, KN, 
i, PP, 
andra, JJ, 
länder, NN, 
., MAD, 
Över, AB, 
300, RG, 
tusen, RG, 
människor, NN, 
bor, VB, 
på, PP, 
öarna, NN, 
., MAD, 
På, PP, 
onsdagen, NN, 
berättade, VB, 
många, JJ, 
tidningar, NN, 
om, PP, 
att, SN, 
en, PN, 
av, PP, 
Iraks, PM, 
ledare, NN, 
hade, VB, 
flytt, VB, 
., MAD, 
Anja, PM, 
Pärson, PM, 
har, VB, 
nu, AB, 
tagit, VB, 
två, RG, 
guld, NN, 
och, KN, 
ett, DT, 
silver, NN, 
i, PP, 
årets, NN, 
VM, PM, 
., MAD, 
Cheferna, NN, 
för, PP, 
Saab, PM, 
har, VB, 
bestämt, VB, 
att, SN, 
fler, JJ, 
än, KN, 
tusen, RG, 
anställda, NN, 
måste, VB, 
sluta, VB, 
., MAD, 
Bomberna, NN, 
har, VB, 
sprängts, VB, 
utanför, PP, 
den, DT, 
irakiska, JJ, 
militärens, NN, 
kontor, NN, 
., MAD, 
Många, JJ, 
tusen, RG, 
människor, NN, 
som, HP, 
dött, VB, 
i, PP, 
naturkatastrofen, NN, 
måste, VB, 
begravas, VB, 
., MAD, 
Men, KN, 
det, PN, 
var, VB, 
svårt, JJ, 
att, IE, 
få, VB, 
någon, DT, 
elev, NN, 
att, IE, 
berätta, VB, 
vad, HP, 
som, HP, 
hade, VB, 
hänt, VB, 
., MAD, 
Svenskarna, NN, 
är, VB, 
ett, PN, 
av, PP, 
de, DT, 
folk, NN, 
i, PP, 
Europa, PM, 
som, HP, 
är, VB, 
mest, AB, 
nöjda, PC, 
med, PP, 
livet, NN, 
., MAD, 
Tre, RG, 
Kronor, NN, 
blev, VB, 
helt, AB, 
utspelat, PC, 
av, PP, 
Tjeckien, PM, 
och, KN, 
fick, VB, 
storstryk, NN, 
., MAD, 
Marken, NN, 
började, VB, 
skaka, VB, 
i, PP, 
Kalifornien, PM, 
i, PP, 
USA, PM, 
i, PP, 
måndags, NN, 
., MAD, 
Portugiserna, NN, 
fick, VB, 
bronsmedalj, NN, 
när, HA, 
de, PN, 
vann, VB, 
matchen, NN, 
mot, PP, 
Sverige, PM, 
., MAD, 
Domstolen, NN, 
säger, VB, 
att, SN, 
det, PN, 
inte, AB, 
är, VB, 
tillåtet, PC, 
att, IE, 
ha, VB, 
särskilda, PC, 
lagar, NN, 
för, PP, 
presidenten, NN, 
., MAD, 
Men, KN, 
även, AB, 
mindre, JJ, 
motion, NN, 
hjälper, VB, 
,, MID, 
säger, VB, 
forskarna, NN, 
., MAD, 
Politikerna, NN, 
i, PP, 
riksdagen, NN, 
ska, VB, 
rösta, VB, 
om, SN, 
förslaget, NN, 
ska, VB, 
bli, VB, 
verklighet, NN, 
eller, KN, 
inte, AB, 
., MAD, 
Det, PN, 
var, VB, 
Frankrikes, PM, 
president, NN, 
,, MID, 
Jacques, PM, 
Chirac, PM, 
,, MID, 
som, HP, 
bestämt, VB, 
att, SN, 
FN-soldaterna, NN, 
skulle, VB, 
förstöra, VB, 
flygvapnet, NN, 
., MAD, 
Två, RG, 
tredjedelar, NN, 
av, PP, 
folket, NN, 
röstade, VB, 
ja, IN, 
., MAD, 
Ja, IN, 
,, MID, 
nästan, AB, 
i, PP, 
alla, DT, 
fall, NN, 
., MAD, 
När, HA, 
någon, PN, 
blir, VB, 
sjuk, JJ, 
får, VB, 
alla, DT, 
andra, PN, 
för, AB, 
mycket, AB, 
att, IE, 
göra, VB, 
., MAD, 
Det, PN, 
var, VB, 
brottaren, NN, 
Ara, PM, 
Abrahamian, PM, 
som, HP, 
tog, VB, 
en, DT, 
silvermedalj, NN, 
., MAD, 
Svenskorna, NN, 
hängde, VB, 
inte, AB, 
med, PL, 
., MAD, 
En, DT, 
person, NN, 
får, VB, 
inte, AB, 
själv, JJ, 
beställa, VB, 
varor, NN, 
från, PP, 
ett, DT, 
utländskt, JJ, 
företag, NN, 
som, HP, 
gör, VB, 
vin, NN, 
eller, KN, 
sprit, NN, 
., MAD, 
Klockan, NN, 
halv, JJ, 
två, RG, 
på, PP, 
eftermiddagen, NN, 
började, VB, 
Stockholms, PM, 
tingsrätt, NN, 
dela, VB, 
ut, PL, 
alla, DT, 
papper, NN, 
som, HP, 
handlar, VB, 
om, PP, 
rättegången, NN, 
., MAD, 
Den, PN, 
skulle, VB, 
kunna, VB, 
ha, VB, 
makten, NN, 
tills, SN, 
nya, JJ, 
val, NN, 
ordnades, VB, 
., MAD, 
Anna, PM, 
Lindberg, PM, 
missade, VB, 
lite, AB, 
i, PP, 
sitt, PS, 
fjärde, RO, 
hopp, NN, 
och, KN, 
slutade, VB, 
fyra, RG, 
i, PP, 
tävlingen, NN, 
., MAD, 
Etthundra, RG, 
människor, NN, 
skadades, VB, 
., MAD, 
Flera, JJ, 
utlänningar, NN, 
har, VB, 
blivit, VB, 
kidnappade, PC, 
av, PP, 
gerilla-grupper, NN, 
., MAD, 
Regeringen, NN, 
har, VB, 
lovat, VB, 
att, IE, 
försöka, VB, 
ordna, VB, 
andra, JJ, 
jobb, NN, 
åt, PP, 
de, PN, 
som, HP, 
blir, VB, 
utan, PP, 
., MAD, 
EUs, PM, 
ordförande, NN, 
är, VB, 
José, PM, 
Manuel, PM, 
Barroso, PM, 
från, PP, 
Portugal, PM, 
., MAD, 
–, MID, 
Jag, PN, 
vill, VB, 
prata, VB, 
med, PP, 
George, PM, 
Bush, PM, 
i, PP, 
en, DT, 
direktsänd, JJ, 
TV-debatt, NN, 
., MAD, 
De, PN, 
försökte, VB, 
bygga, VB, 
kärnvapen, NN, 
i, PP, 
hemlighet, NN, 
., MAD, 
Nu, AB, 
är, VB, 
förslaget, NN, 
färdigt, JJ, 
., MAD, 
De, DT, 
senaste, JJ, 
femton, RG, 
åren, NN, 
har, VB, 
fyratusen, RG, 
människor, NN, 
dött, VB, 
av, PP, 
attentat, NN, 
och, KN, 
strider, NN, 
., MAD, 
Plötsligt, AB, 
började, VB, 
det, PN, 
att, IE, 
välta, VB, 
., MAD, 
Folk, NN, 
i, PP, 
de, DT, 
västra, JJ, 
delarna, NN, 
av, PP, 
landet, NN, 
hade, VB, 
lämnat, VB, 
sina, PS, 
hem, NN, 
., MAD, 
Djurgården, PM, 
blir, VB, 
svenska, JJ, 
mästare, NN, 
för, PP, 
andra, RO, 
året, NN, 
i, PP, 
rad, NN, 
., MAD, 
Bomben, NN, 
fanns, VB, 
i, PP, 
en, DT, 
bil, NN, 
som, HP, 
stod, VB, 
utanför, PP, 
hotellet, NN, 
., MAD, 
Inför, PP, 
sista, JJ, 
heatet, NN, 
ledde, VB, 
Masarna, NN, 
och, KN, 
hade, VB, 
chans, NN, 
att, IE, 
ordna, VB, 
oavgjort, NN, 
., MAD, 
På, PP, 
träningen, NN, 
hade, VB, 
han, PN, 
haft, VB, 
bland, PP, 
de, DT, 
snabbaste, JJ, 
tiderna, NN, 
., MAD, 
Flera, JJ, 
missförstånd, NN, 
gjorde, VB, 
att, SN, 
bron, NN, 
ändå, AB, 
inte, AB, 
stängdes, VB, 
av, PL, 
., MAD, 
Laget, NN, 
vann, VB, 
sin, PS, 
första, RO, 
kval-match, NN, 
mot, PP, 
Ungern, PM, 
med, PP, 
3-0, RG, 
., MAD, 
Den, PN, 
hann, VB, 
inte, AB, 
över, PP, 
spåret, NN, 
., MAD, 
De, PN, 
har, VB, 
sagt, VB, 
det, PN, 
länge, AB, 
men, KN, 
ännu, AB, 
har, VB, 
de, PN, 
inte, AB, 
träffats, VB, 
för, PP, 
att, IE, 
förhandla, VB, 
., MAD, 
Irakiska, JJ, 
säkerhetspoliser, NN, 
hämtade, VB, 
honom, PN, 
., MAD, 
En, DT, 
FN-rapport, NN, 
säger, VB, 
att, SN, 
säkerhetschefen, NN, 
struntade, VB, 
i, PP, 
varningar, NN, 
om, PP, 
att, SN, 
FN-kontoret, NN, 
skulle, VB, 
bli, VB, 
bombat, PC, 
., MAD, 
Ägarna, NN, 
säger, VB, 
att, SN, 
spelarna, NN, 
får, VB, 
alldeles, AB, 
för, AB, 
mycket, AB, 
betalt, PC, 
., MAD, 
Det, PN, 
är, VB, 
till, AB, 
och, KN, 
med, AB, 
så, AB, 
att, SN, 
USA, PM, 
är, VB, 
hatat, PC, 
i, PP, 
många, JJ, 
delar, NN, 
av, PP, 
världen, NN, 
,, MID, 
till, PP, 
exempel, NN, 
i, PP, 
muslimska, JJ, 
länder, NN, 
., MAD, 
Annika, PM, 
var, VB, 
mycket, AB, 
besviken, JJ, 
., MAD, 
De, PN, 
skickar, VB, 
hjälpsändningar, NN, 
med, PP, 
kläder, NN, 
och, KN, 
mediciner, NN, 
till, PP, 
Asien, PM, 
., MAD, 
Polisen, NN, 
lämnar, VB, 
ganska, AB, 
få, JJ, 
detaljer, NN, 
om, PP, 
kidnappningen, NN, 
., MAD, 
Förra, JJ, 
veckan, NN, 
drog, VB, 
orkanen, NN, 
Ivan, PM, 
fram, PL, 
över, PP, 
Kuba, PM, 
och, KN, 
USA, PM, 
., MAD, 
Det, PN, 
kan, VB, 
ta, VB, 
